UserID;DateTime;TargetDistance;TargetHeight;GravityStrength;BallType;BallMass;Score
-1;19.1.2026 2:05;8;1;-10;Spear;5;4
-1;19.1.2026 2:05;7;2;-10;Spear;5;0
-1;19.1.2026 2:05;9;3;-10;Spear;5;0
-1;19.1.2026 2:05;10;2;-10;Spear;5;0
-1;19.1.2026 2:05;7;2;-10;Spear;5;0
-1;19.1.2026 2:05;6;2;-10;Spear;5;0
-1;19.1.2026 2:05;7;2;-10;Spear;5;0
-1;19.1.2026 2:05;8;1;-10;Spear;5;4
-1;19.1.2026 2:05;8;2;-10;Spear;5;0
-1;19.1.2026 2:05;9;2;-10;Spear;5;0
-1;19.1.2026 2:05;8;1;-10;Spear;5;3
-1;19.1.2026 2:05;6;3;-10;Spear;5;0
-1,2026-01-19 02:11:51,0,0,-10,Bowling,5,10
-1,2026-01-19 02:11:55,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:03,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:08,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:12,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:17,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:22,0,0,-10,Bowling,5,9
-1,2026-01-19 02:12:27,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:32,0,0,-10,Bowling,5,9
-1,2026-01-19 02:12:36,0,0,-10,Bowling,5,10
-1,2026-01-19 02:12:40,0,0,-10,Bowling,5,10
